timestamp,sample_size,model_name,k_neighbors,leiden_resolution,louvain_resolution,algorithm,n_clusters,avg_cluster_size,nmi,purity,ari,modularity,notes
2026-03-28 20:59:01,100,dinov2_vits14,10,30.0,30.0,Infomap,7,14.285714,0.544573,0.140000,0.016071,0.356809,Best algorithm: Leiden
2026-03-28 20:59:01,100,dinov2_vits14,10,30.0,30.0,Leiden,95,1.052632,0.986482,0.990000,0.443633,-0.004318,Best algorithm: Leiden
2026-03-28 20:59:01,100,dinov2_vits14,10,30.0,30.0,Louvain,95,1.052632,0.986482,0.990000,0.443633,-0.004318,Best algorithm: Leiden
2026-03-28 20:59:01,100,dinov2_vits14,10,30.0,30.0,LPA,3,33.333333,0.308317,0.060000,0.004040,0.245700,Best algorithm: Leiden
2026-03-28 21:38:24,full,dinov2_vits14,10,30.0,30.0,Infomap,19,577.894737,0.402827,0.075046,0.020198,0.758697,Best algorithm: Leiden
2026-03-28 21:38:24,full,dinov2_vits14,10,30.0,30.0,Leiden,394,27.868020,0.705256,0.360838,0.202492,0.630562,Best algorithm: Leiden
2026-03-28 21:38:24,full,dinov2_vits14,10,30.0,30.0,Louvain,399,27.518797,0.705167,0.358470,0.201357,0.626609,Best algorithm: Leiden
2026-03-28 21:38:24,full,dinov2_vits14,10,30.0,30.0,LPA,665,16.511278,0.699417,0.441985,0.052224,0.621599,Best algorithm: Leiden
2026-03-28 22:17:34,full,dinov2_vits14,10,30.0,30.0,Infomap,19,577.894737,0.402827,0.075046,0.020198,0.758697,Best algorithm: Leiden
2026-03-28 22:17:34,full,dinov2_vits14,10,30.0,30.0,Leiden,403,27.245658,0.707927,0.366576,0.205768,0.629053,Best algorithm: Leiden
2026-03-28 22:17:34,full,dinov2_vits14,10,30.0,30.0,Louvain,392,28.010204,0.702814,0.357923,0.199804,0.626090,Best algorithm: Leiden
2026-03-28 22:17:34,full,dinov2_vits14,10,30.0,30.0,LPA,675,16.266667,0.701016,0.447177,0.052675,0.623793,Best algorithm: Leiden
2026-03-28 23:51:19,full,dinov2_vits14,10,30.0,30.0,Infomap,19,577.894737,0.402827,0.075046,0.020198,0.758697,Best algorithm: Louvain
2026-03-28 23:51:19,full,dinov2_vits14,10,30.0,30.0,Leiden,392,28.010204,0.705063,0.359107,0.202439,0.630634,Best algorithm: Louvain
2026-03-28 23:51:19,full,dinov2_vits14,10,30.0,30.0,Louvain,391,28.081841,0.705478,0.362204,0.204999,0.627156,Best algorithm: Louvain
2026-03-28 23:51:19,full,dinov2_vits14,10,30.0,30.0,LPA,664,16.536145,0.696573,0.437796,0.049908,0.623611,Best algorithm: Louvain
2026-03-28 23:59:32,full,dinov2_vits14,20,30.0,30.0,Infomap,8,1372.500000,0.324084,0.040801,0.014466,0.698590,Best algorithm: Leiden
2026-03-28 23:59:32,full,dinov2_vits14,20,30.0,30.0,Leiden,334,32.874251,0.694355,0.336339,0.212663,0.503194,Best algorithm: Leiden
2026-03-28 23:59:32,full,dinov2_vits14,20,30.0,30.0,Louvain,327,33.577982,0.690954,0.331239,0.212565,0.501402,Best algorithm: Leiden
2026-03-28 23:59:32,full,dinov2_vits14,20,30.0,30.0,LPA,255,43.058824,0.559334,0.267122,0.019585,0.620929,Best algorithm: Leiden
2026-03-29 00:00:30,full,dinov2_vits14,15,30.0,30.0,Infomap,10,1098.000000,0.336029,0.051821,0.014726,0.715336,Best algorithm: Louvain
2026-03-29 00:00:30,full,dinov2_vits14,15,30.0,30.0,Leiden,345,31.826087,0.698310,0.344627,0.213380,0.559925,Best algorithm: Louvain
2026-03-29 00:00:30,full,dinov2_vits14,15,30.0,30.0,Louvain,349,31.461318,0.698539,0.346721,0.213924,0.554385,Best algorithm: Louvain
2026-03-29 00:00:30,full,dinov2_vits14,15,30.0,30.0,LPA,408,26.911765,0.638380,0.346266,0.030409,0.607075,Best algorithm: Louvain
2026-03-29 09:06:02,full,dinov2_vits14,15,30.0,30.0,Infomap,10,1098.000000,0.336029,0.051821,0.014726,0.715336,Best algorithm: Leiden
2026-03-29 09:06:02,full,dinov2_vits14,15,30.0,30.0,Leiden,344,31.918605,0.698383,0.342168,0.216699,0.558769,Best algorithm: Leiden
2026-03-29 09:06:02,full,dinov2_vits14,15,30.0,30.0,Louvain,340,32.294118,0.694509,0.337067,0.209715,0.555534,Best algorithm: Leiden
2026-03-29 09:06:02,full,dinov2_vits14,15,30.0,30.0,LPA,418,26.267943,0.657612,0.362204,0.057547,0.606687,Best algorithm: Leiden
2026-03-29 10:31:35,full,dinov2_vits14,15,30.0,30.0,Infomap,10,1098.000000,0.336029,0.051821,0.014726,0.715336,Best algorithm: Leiden
2026-03-29 10:31:35,full,dinov2_vits14,15,30.0,30.0,Leiden,346,31.734104,0.698334,0.344080,0.216139,0.560999,Best algorithm: Leiden
2026-03-29 10:31:35,full,dinov2_vits14,15,30.0,30.0,Louvain,345,31.826087,0.696654,0.341530,0.211935,0.555218,Best algorithm: Leiden
2026-03-29 10:31:35,full,dinov2_vits14,15,30.0,30.0,LPA,403,27.245658,0.631710,0.343898,0.029631,0.612411,Best algorithm: Leiden
2026-04-23 15:28:48,full,dinov2_vits14,3,130.0,130.0,Infomap,139,78.992806,0.271693,0.083971,0.005342,0.636677,Best algorithm: LPA
2026-04-23 15:28:48,full,dinov2_vits14,3,130.0,130.0,Leiden,1333,8.237059,0.774861,0.582332,0.164388,0.775240,Best algorithm: LPA
2026-04-23 15:28:48,full,dinov2_vits14,3,130.0,130.0,Louvain,1315,8.349810,0.773692,0.579599,0.165060,0.773441,Best algorithm: LPA
2026-04-23 15:28:48,full,dinov2_vits14,3,130.0,130.0,LPA,1911,5.745683,0.787783,0.661384,0.147244,0.717580,Best algorithm: LPA
2026-04-29 10:57:10,full,efficientnet_v2_l,3,130.0,130.0,Infomap,13,844.615385,0.072997,0.017486,0.001448,0.629430,Best algorithm: LPA
2026-04-29 10:57:10,full,efficientnet_v2_l,3,130.0,130.0,Leiden,1178,9.320883,0.624911,0.205738,0.019711,0.632940,Best algorithm: LPA
2026-04-29 10:57:10,full,efficientnet_v2_l,3,130.0,130.0,Louvain,1177,9.328802,0.624065,0.205829,0.019871,0.626716,Best algorithm: LPA
2026-04-29 10:57:10,full,efficientnet_v2_l,3,130.0,130.0,LPA,1555,7.061093,0.634920,0.247177,0.018272,0.596047,Best algorithm: LPA
2026-04-30 15:56:50,full,dinov2_vits14,3,130.0,130.0,Infomap,137,80.145985,0.273017,0.085246,0.005445,0.639936,Best algorithm: LPA
2026-04-30 15:56:50,full,dinov2_vits14,3,130.0,130.0,Leiden,1313,8.362529,0.774045,0.585519,0.165242,0.777336,Best algorithm: LPA
2026-04-30 15:56:50,full,dinov2_vits14,3,130.0,130.0,Louvain,1304,8.420245,0.773120,0.582058,0.164832,0.775586,Best algorithm: LPA
2026-04-30 15:56:50,full,dinov2_vits14,3,130.0,130.0,LPA,1940,5.659794,0.788465,0.668944,0.145422,0.714271,Best algorithm: LPA
2026-05-09 21:57:53,full,dinov2_vits14,3,130.0,130.0,Infomap,139,78.992806,0.263354,0.068852,0.083789,0.004789,0.616286,Best algorithm: LPA
2026-05-09 21:57:53,full,dinov2_vits14,3,130.0,130.0,Leiden,1329,8.261851,0.774560,0.298452,0.585883,0.164464,0.775826,Best algorithm: LPA
2026-05-09 21:57:53,full,dinov2_vits14,3,130.0,130.0,Louvain,1328,8.268072,0.774501,0.298998,0.585610,0.164860,0.772817,Best algorithm: LPA
2026-05-09 21:57:53,full,dinov2_vits14,3,130.0,130.0,LPA,1928,5.695021,0.787594,0.280328,0.666029,0.144479,0.715053,Best algorithm: LPA
2026-05-09 21:59:06,full,efficientnet_v2_l,3,130.0,130.0,Infomap,13,844.615385,0.075485,0.017851,0.018488,0.001524,0.629608,Best algorithm: LPA
2026-05-09 21:59:06,full,efficientnet_v2_l,3,130.0,130.0,Leiden,1180,9.305085,0.625135,0.130146,0.206648,0.019575,0.631686,Best algorithm: LPA
2026-05-09 21:59:06,full,efficientnet_v2_l,3,130.0,130.0,Louvain,1181,9.297206,0.624086,0.130965,0.206102,0.019761,0.626792,Best algorithm: LPA
2026-05-09 21:59:06,full,efficientnet_v2_l,3,130.0,130.0,LPA,1524,7.204724,0.631071,0.129144,0.244536,0.017545,0.600389,Best algorithm: LPA
2026-05-10 00:48:39,full,dinov2_vitb14,20,5.0,5.0,Infomap,13,844.615385,0.201221,0.034153,0.035519,0.003001,0.386907,Best algorithm: LPA
2026-05-10 00:48:39,full,dinov2_vitb14,20,5.0,5.0,Leiden,359,30.584958,0.723333,0.350273,0.401457,0.202558,0.745771,Best algorithm: LPA
2026-05-10 00:48:39,full,dinov2_vitb14,20,5.0,5.0,Louvain,333,32.972973,0.717387,0.343989,0.387250,0.196828,0.742633,Best algorithm: LPA
2026-05-10 00:48:39,full,dinov2_vitb14,20,5.0,5.0,LPA,1944,5.648148,0.807956,0.344171,0.719581,0.211597,0.409704,Best algorithm: LPA
2026-05-10 01:13:04,full,dinov2_vitl14,20,5.0,5.0,Infomap,32,343.125000,0.319522,0.071038,0.073224,0.005352,0.537472,Best algorithm: LPA
2026-05-10 01:13:04,full,dinov2_vitl14,20,5.0,5.0,Leiden,392,28.010204,0.745041,0.380965,0.431330,0.227584,0.790776,Best algorithm: LPA
2026-05-10 01:13:04,full,dinov2_vitl14,20,5.0,5.0,Louvain,370,29.675676,0.741088,0.371767,0.422131,0.229466,0.785585,Best algorithm: LPA
2026-05-10 01:13:04,full,dinov2_vitl14,20,5.0,5.0,LPA,1833,5.990180,0.819359,0.379599,0.733880,0.250844,0.470217,Best algorithm: LPA
2026-05-10 01:21:56,full,dinov2_vitl14,30,40.0,46.0,Infomap,12,915.000000,0.228424,0.039162,0.039344,0.003542,0.428632,Best algorithm: LPA
2026-05-10 01:21:56,full,dinov2_vitl14,30,40.0,46.0,Leiden,657,16.712329,0.784933,0.427322,0.545719,0.291630,0.588897,Best algorithm: LPA
2026-05-10 01:21:56,full,dinov2_vitl14,30,40.0,46.0,Louvain,678,16.194690,0.785810,0.424317,0.549727,0.292242,0.571355,Best algorithm: LPA
2026-05-10 01:21:56,full,dinov2_vitl14,30,40.0,46.0,LPA,1721,6.380012,0.817812,0.393534,0.721038,0.267058,0.379439,Best algorithm: LPA
2026-05-10 01:38:15,full,dinov2_vitl14,30,40.0,46.0,Infomap,12,915.000000,0.228424,0.039162,0.039344,0.003542,0.428632,Best algorithm: LPA
2026-05-10 01:38:15,full,dinov2_vitl14,30,40.0,46.0,Leiden,651,16.866359,0.783962,0.427231,0.541894,0.289146,0.590575,Best algorithm: LPA
2026-05-10 01:38:15,full,dinov2_vitl14,30,40.0,46.0,Louvain,678,16.194690,0.785810,0.424317,0.549727,0.292242,0.571355,Best algorithm: LPA
2026-05-10 01:38:15,full,dinov2_vitl14,30,40.0,46.0,LPA,1721,6.380012,0.817812,0.393534,0.721038,0.267058,0.379439,Best algorithm: LPA
